Carimbo de data/hora (createdAt),Selecione o Piloto  (pilotId),Selecione a Fazenda (farmId),Nome do Mapa (observation) (plotId=null),Empresa (customerID),Area aplicada (Corrigida),Quantos hectares aplicados?,Selecione o dia da aplicação: (date application),Qual foi o tipo de aplicação? (productId),Selecione o seu ajudante: (assistantId),Tipo de cultura (culture-typeId),Qual drone utilizado?,Período de safra (contractId),,,,,,,,
17/06/2025 01:23,6322425e-1079-42ab-9130-2c9e6489db9f,617e9713-3f49-4cdc-b84b-f651d3d03f8d,E55 T49,3356f421-3a87-4566-9c0f-8154abf98a14,3.8,3.8,17/06/2025,cb0e2f67-bbaf-4e4d-b446-68ac68f44408,629f4fe3-b0c3-48ec-85ff-a06ad19c5312,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,04627060-190e-4b84-afe1-4c1301f02862,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
17/06/2025 01:24,6322425e-1079-42ab-9130-2c9e6489db9f,617e9713-3f49-4cdc-b84b-f651d3d03f8d,E55 T62,3356f421-3a87-4566-9c0f-8154abf98a14,7.7,7.7,17/06/2025,cb0e2f67-bbaf-4e4d-b446-68ac68f44408,629f4fe3-b0c3-48ec-85ff-a06ad19c5312,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,04627060-190e-4b84-afe1-4c1301f02862,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
17/06/2025 01:26,6322425e-1079-42ab-9130-2c9e6489db9f,617e9713-3f49-4cdc-b84b-f651d3d03f8d,E55 T27,3356f421-3a87-4566-9c0f-8154abf98a14,4.8,4.8,17/06/2025,cb0e2f67-bbaf-4e4d-b446-68ac68f44408,629f4fe3-b0c3-48ec-85ff-a06ad19c5312,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,04627060-190e-4b84-afe1-4c1301f02862,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
17/06/2025 01:37,7ce43fe5-d119-4eab-8bd6-695bc11b484b,f063ce32-1144-43e6-87cc-77899c6d6d15,USINA ,3356f421-3a87-4566-9c0f-8154abf98a14,11.3,11.3,16/06/2025,96cb9591-9545-4c0a-92de-f98d7772cc31,84933fd7-0594-4b28-8492-d9a3d7bf88bb,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,8301353a-1ec0-4641-8d86-c33aa3087059,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
17/06/2025 01:41,acf1eeb8-dc57-464a-b064-92368e2aef12,33a0e294-4f0e-4a52-a40e-286d11cd61b1,CACHOEIRINHA T71,3356f421-3a87-4566-9c0f-8154abf98a14,4.3,4.3,16/06/2025,96cb9591-9545-4c0a-92de-f98d7772cc31,84933fd7-0594-4b28-8492-d9a3d7bf88bb,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,8301353a-1ec0-4641-8d86-c33aa3087059,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
17/06/2025 03:08,11257492-2511-40fa-9497-7d2619e59d87,617e9713-3f49-4cdc-b84b-f651d3d03f8d,E55 T61,3356f421-3a87-4566-9c0f-8154abf98a14,1.47,1.47,16/06/2025,ddf48929-892c-4427-bc23-f2ad1d2e990a,c9aa2564-0e7d-4444-8f1b-fc4d7386875b,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,01373ffe-9582-408b-b17a-e4fa235b8a45,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
17/06/2025 03:11,11257492-2511-40fa-9497-7d2619e59d87,617e9713-3f49-4cdc-b84b-f651d3d03f8d,E55 T52,3356f421-3a87-4566-9c0f-8154abf98a14,3.72,3.72,17/06/2025,ddf48929-892c-4427-bc23-f2ad1d2e990a,c9aa2564-0e7d-4444-8f1b-fc4d7386875b,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,01373ffe-9582-408b-b17a-e4fa235b8a45,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
17/06/2025 03:12,564191dd-ca1a-431c-add2-f6434056491e,617e9713-3f49-4cdc-b84b-f651d3d03f8d,E55 T25,3356f421-3a87-4566-9c0f-8154abf98a14,1.92,1.92,16/06/2025,a43cf1a7-6318-483e-90e1-aa150f38ddae,6cd96e11-1382-4c95-a88d-926e8ed62ffb,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,8301353a-1ec0-4641-8d86-c33aa3087059,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
17/06/2025 03:12,11257492-2511-40fa-9497-7d2619e59d87,2494ce21-b721-4607-bef3-b7162c80df96,E58 T58,3356f421-3a87-4566-9c0f-8154abf98a14,2.88,2.88,16/06/2025,ddf48929-892c-4427-bc23-f2ad1d2e990a,c9aa2564-0e7d-4444-8f1b-fc4d7386875b,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,01373ffe-9582-408b-b17a-e4fa235b8a45,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
17/06/2025 03:13,564191dd-ca1a-431c-add2-f6434056491e,617e9713-3f49-4cdc-b84b-f651d3d03f8d,E55 T101,3356f421-3a87-4566-9c0f-8154abf98a14,2.35,2.35,16/06/2025,a43cf1a7-6318-483e-90e1-aa150f38ddae,6cd96e11-1382-4c95-a88d-926e8ed62ffb,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,8301353a-1ec0-4641-8d86-c33aa3087059,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
